# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.597395688295364380e-01 1.386399716138839722e-01 9.350966662168502808e-02 9.007463455200195312e+00 9.493275880813598633e-01 3.454462814331054688e+01 1.329757976531982422e+01 4.359171688556671143e-01 9.049836158752441406e+00 5.610627532005310059e-01 1.584787070751190186e-01 1.397927403450012207e-01 9.277566522359848022e-02 8.056842803955078125e+00 8.299216032028198242e-01 3.612519454956054688e+01 1.358741569519042969e+01 3.393085598945617676e-01 8.985317230224609375e+00 5.637547373771667480e-01
1.000000000000000000e+03 7.670157402753829956e-02 1.832193881273269653e-02 1.215089298784732819e-02 2.350468654185533524e-03 3.342991461977362633e-03 3.437708318233489990e-02 1.203265972435474396e-02 5.378780770115554333e-04 1.725570261478424072e-01 1.151453331112861633e-02 7.746236026287078857e-02 1.836752705276012421e-02 1.234722789376974106e-02 7.889184169471263885e-03 7.542267441749572754e-03 5.141499638557434082e-02 1.326638460159301758e-02 1.055573811754584312e-03 1.743085533380508423e-01 1.170846447348594666e-02
2.000000000000000000e+03 6.583438068628311157e-02 1.597441546618938446e-02 9.246897883713245392e-03 1.052986481226980686e-03 1.790341339074075222e-03 2.110761776566505432e-02 1.041874103248119354e-02 2.315182355232536793e-04 1.149726212024688721e-01 8.490055799484252930e-03 6.801701337099075317e-02 1.655012182891368866e-02 9.539594873785972595e-03 4.727248568087816238e-03 5.601030308753252029e-03 4.374504089355468750e-02 1.192397810518741608e-02 7.325270562432706356e-04 1.185216680169105530e-01 8.923789486289024353e-03
3.000000000000000000e+03 5.964596197009086609e-02 1.578292623162269592e-02 8.006459102034568787e-03 9.307564469054341316e-04 8.477885276079177856e-04 4.864742979407310486e-02 3.960857167840003967e-02 2.070188784273341298e-04 9.209879487752914429e-02 7.268930319696664810e-03 6.354343891143798828e-02 1.670518703758716583e-02 8.299078792333602905e-03 4.245573189109563828e-03 4.102492239326238632e-03 8.106108009815216064e-02 4.025369882583618164e-02 6.258415523916482925e-04 9.678918868303298950e-02 7.696514017879962921e-03
4.000000000000000000e+03 4.578037187457084656e-02 1.538502424955368042e-02 7.135480642318725586e-03 4.512269515544176102e-04 6.903382600285112858e-04 1.277417037636041641e-02 8.121909573674201965e-03 1.372254773741587996e-04 7.196125388145446777e-02 6.665554363280534744e-03 5.159967020153999329e-02 1.659330725669860840e-02 7.508579641580581665e-03 4.025603178888559341e-03 4.369492642581462860e-03 6.211179494857788086e-02 1.083737611770629883e-02 4.156614304520189762e-04 7.751392573118209839e-02 7.147882133722305298e-03
5.000000000000000000e+03 3.706768900156021118e-02 1.482908241450786591e-02 6.545652635395526886e-03 2.557056141085922718e-04 3.377656685188412666e-04 8.441396988928318024e-03 4.195004701614379883e-03 1.132731340476311743e-04 5.858275294303894043e-02 5.978096742182970047e-03 4.608866572380065918e-02 1.657535694539546967e-02 7.046893239021301270e-03 3.772119991481304169e-03 3.630430204793810844e-03 7.929313927888870239e-02 7.028933148831129074e-03 2.927298774011433125e-04 6.580530107021331787e-02 6.424662657082080841e-03
6.000000000000000000e+03 2.884058654308319092e-02 1.332309097051620483e-02 5.898119416087865829e-03 2.585790061857551336e-04 2.383869868936017156e-04 1.004353072494268417e-02 2.910509938374161720e-03 8.670412353239953518e-05 4.720658808946609497e-02 5.539334844797849655e-03 4.305805265903472900e-02 1.580557040870189667e-02 6.552618462592363358e-03 4.306674934923648834e-03 3.207905218005180359e-03 1.069786027073860168e-01 6.744564510881900787e-03 2.091176720568910241e-04 5.630348622798919678e-02 5.984473507851362228e-03
7.000000000000000000e+03 1.207728683948516846e-01 3.448621928691864014e-02 1.749901473522186279e-02 4.766607657074928284e-03 4.786806646734476089e-03 3.517222031950950623e-02 7.164940237998962402e-03 6.214847089722752571e-04 1.496753394603729248e-01 1.192787103354930878e-02 1.249058544635772705e-01 3.507382050156593323e-02 1.762347295880317688e-02 1.295969262719154358e-02 5.665469914674758911e-03 5.777025967836380005e-02 8.126892149448394775e-03 8.109955815598368645e-04 1.537585407495498657e-01 1.227705553174018860e-02
8.000000000000000000e+03 4.844211041927337646e-02 2.287547104060649872e-02 1.075583696365356445e-02 6.792935892008244991e-04 8.443620754405856133e-04 1.150236278772354126e-02 3.719153814017772675e-03 1.694341772235929966e-04 7.395126670598983765e-02 7.379325572401285172e-03 5.416772514581680298e-02 2.400390617549419403e-02 1.098887436091899872e-02 4.559689201414585114e-03 2.513565355911850929e-03 4.429183527827262878e-02 5.349375773221254349e-03 2.585474285297095776e-04 8.079497516155242920e-02 7.758476771414279938e-03
9.000000000000000000e+03 3.579927980899810791e-02 1.869094371795654297e-02 7.778543513268232346e-03 3.372226201463490725e-04 4.093573661521077156e-04 6.595716811716556549e-03 2.464096993207931519e-03 9.372502245241776109e-05 5.683205649256706238e-02 6.444829516112804413e-03 4.502475634217262268e-02 2.048631384968757629e-02 8.171834051609039307e-03 3.337992588058114052e-03 1.754930708557367325e-03 5.090148746967315674e-02 4.689333960413932800e-03 1.275028917007148266e-04 6.405005604028701782e-02 6.924064364284276962e-03
